ID,Measure,Income ,Time,Time_type,Ethnicity,Ethnicity_type,Geography,Value,Value_type,Denominator
38_AsianEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,800 or more, but less than GBP 2,000",2012,Three-year average,Asian,ONS 5+2,K02000001,2,%,2252
39_AsianEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 2,000 or more",2012,Three-year average,Asian,ONS 5+2,K02000001,6,%,2252
40_AsianEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 200 or more, but less than GBP 400",2012,Three-year average,Asian,ONS 5+2,K02000001,17,%,2252
41_AsianEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 400 or more, but less than GBP 600",2012,Three-year average,Asian,ONS 5+2,K02000001,20,%,2252
42_AsianEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 600 or more, but less than GBP 800",2012,Three-year average,Asian,ONS 5+2,K02000001,17,%,2252
43_AsianEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 800 or more, but less than GBP 1,000",2012,Three-year average,Asian,ONS 5+2,K02000001,10,%,2252
44_AsianEthnicity,Average weekly household income by ethnic group of the head of the household,Less than GBP 200,2012,Three-year average,Asian,ONS 5+2,K02000001,8,%,2252
45_AsianEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,000 or more, but less than GBP 1,200",2013,Three-year average,Asian,ONS 5+2,K02000001,8,%,2317
46_AsianEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,200 or more, but less than GBP 1,400",2013,Three-year average,Asian,ONS 5+2,K02000001,6,%,2317
47_AsianEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,400 or more, but less than GBP 1,600",2013,Three-year average,Asian,ONS 5+2,K02000001,4,%,2317
48_AsianEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,600 or more, but less than GBP 1,800",2013,Three-year average,Asian,ONS 5+2,K02000001,2,%,2317
49_AsianEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,800 or more, but less than GBP 2,000",2013,Three-year average,Asian,ONS 5+2,K02000001,2,%,2317
50_AsianEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 2,000 or more",2013,Three-year average,Asian,ONS 5+2,K02000001,6,%,2317
51_AsianEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 200 or more, but less than GBP 400",2013,Three-year average,Asian,ONS 5+2,K02000001,16,%,2317
52_AsianEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 400 or more, but less than GBP 600",2013,Three-year average,Asian,ONS 5+2,K02000001,20,%,2317
53_AsianEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 600 or more, but less than GBP 800",2013,Three-year average,Asian,ONS 5+2,K02000001,17,%,2317
54_AsianEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 800 or more, but less than GBP 1,000",2013,Three-year average,Asian,ONS 5+2,K02000001,10,%,2317
55_AsianEthnicity,Average weekly household income by ethnic group of the head of the household,Less than GBP 200,2013,Three-year average,Asian,ONS 5+2,K02000001,8,%,2317
56_AsianEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,000 or more, but less than GBP 1,200",2014,Three-year average,Asian,ONS 5+2,K02000001,8,%,2380
57_AsianEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,200 or more, but less than GBP 1,400",2014,Three-year average,Asian,ONS 5+2,K02000001,6,%,2380
58_AsianEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,400 or more, but less than GBP 1,600",2014,Three-year average,Asian,ONS 5+2,K02000001,4,%,2380
59_AsianEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,600 or more, but less than GBP 1,800",2014,Three-year average,Asian,ONS 5+2,K02000001,3,%,2380
60_AsianEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,800 or more, but less than GBP 2,000",2014,Three-year average,Asian,ONS 5+2,K02000001,2,%,2380
61_AsianEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 2,000 or more",2014,Three-year average,Asian,ONS 5+2,K02000001,6,%,2380
62_AsianEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 200 or more, but less than GBP 400",2014,Three-year average,Asian,ONS 5+2,K02000001,16,%,2380
63_AsianEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 400 or more, but less than GBP 600",2014,Three-year average,Asian,ONS 5+2,K02000001,20,%,2380
64_AsianEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 600 or more, but less than GBP 800",2014,Three-year average,Asian,ONS 5+2,K02000001,16,%,2380
65_AsianEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 800 or more, but less than GBP 1,000",2014,Three-year average,Asian,ONS 5+2,K02000001,11,%,2380
66_AsianEthnicity,Average weekly household income by ethnic group of the head of the household,Less than GBP 200,2014,Three-year average,Asian,ONS 5+2,K02000001,7,%,2380
67_AsianEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,000 or more, but less than GBP 1,200",2015,Three-year average,Asian,ONS 5+2,K02000001,9,%,2391
68_AsianEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,200 or more, but less than GBP 1,400",2015,Three-year average,Asian,ONS 5+2,K02000001,6,%,2391
69_AsianEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,400 or more, but less than GBP 1,600",2015,Three-year average,Asian,ONS 5+2,K02000001,4,%,2391
70_AsianEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,600 or more, but less than GBP 1,800",2015,Three-year average,Asian,ONS 5+2,K02000001,3,%,2391
71_AsianEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,800 or more, but less than GBP 2,000",2015,Three-year average,Asian,ONS 5+2,K02000001,2,%,2391
72_AsianEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 2,000 or more",2015,Three-year average,Asian,ONS 5+2,K02000001,7,%,2391
73_AsianEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 200 or more, but less than GBP 400",2015,Three-year average,Asian,ONS 5+2,K02000001,15,%,2391
74_AsianEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 400 or more, but less than GBP 600",2015,Three-year average,Asian,ONS 5+2,K02000001,19,%,2391
75_AsianEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 600 or more, but less than GBP 800",2015,Three-year average,Asian,ONS 5+2,K02000001,17,%,2391
