ID,Measure,Income ,Time,Time_type,Ethnicity,Ethnicity_type,Geography,Value,Value_type,Denominator
39_blackEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 2,000 or more",2012,Three-year average,Black,ONS 5+2,K02000001,2,%,1323
40_blackEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 200 or more, but less than GBP 400",2012,Three-year average,Black,ONS 5+2,K02000001,25,%,1323
41_blackEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 400 or more, but less than GBP 600",2012,Three-year average,Black,ONS 5+2,K02000001,22,%,1323
42_blackEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 600 or more, but less than GBP 800",2012,Three-year average,Black,ONS 5+2,K02000001,17,%,1323
43_blackEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 800 or more, but less than GBP 1,000",2012,Three-year average,Black,ONS 5+2,K02000001,10,%,1323
44_blackEthnicity,Average weekly household income by ethnic group of the head of the household,Less than GBP 200,2012,Three-year average,Black,ONS 5+2,K02000001,11,%,1323
45_blackEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,000 or more, but less than GBP 1,200",2013,Three-year average,Black,ONS 5+2,K02000001,6,%,1352
46_blackEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,200 or more, but less than GBP 1,400",2013,Three-year average,Black,ONS 5+2,K02000001,4,%,1352
47_blackEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,400 or more, but less than GBP 1,600",2013,Three-year average,Black,ONS 5+2,K02000001,3,%,1352
48_blackEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,600 or more, but less than GBP 1,800",2013,Three-year average,Black,ONS 5+2,K02000001,1,%,1352
49_blackEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,800 or more, but less than GBP 2,000",2013,Three-year average,Black,ONS 5+2,K02000001,1,%,1352
50_blackEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 2,000 or more",2013,Three-year average,Black,ONS 5+2,K02000001,2,%,1352
51_blackEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 200 or more, but less than GBP 400",2013,Three-year average,Black,ONS 5+2,K02000001,24,%,1352
52_blackEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 400 or more, but less than GBP 600",2013,Three-year average,Black,ONS 5+2,K02000001,22,%,1352
53_blackEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 600 or more, but less than GBP 800",2013,Three-year average,Black,ONS 5+2,K02000001,17,%,1352
54_blackEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 800 or more, but less than GBP 1,000",2013,Three-year average,Black,ONS 5+2,K02000001,10,%,1352
55_blackEthnicity,Average weekly household income by ethnic group of the head of the household,Less than GBP 200,2013,Three-year average,Black,ONS 5+2,K02000001,11,%,1352
56_blackEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,000 or more, but less than GBP 1,200",2014,Three-year average,Black,ONS 5+2,K02000001,6,%,1323
57_blackEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,200 or more, but less than GBP 1,400",2014,Three-year average,Black,ONS 5+2,K02000001,4,%,1323
58_blackEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,400 or more, but less than GBP 1,600",2014,Three-year average,Black,ONS 5+2,K02000001,3,%,1323
59_blackEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,600 or more, but less than GBP 1,800",2014,Three-year average,Black,ONS 5+2,K02000001,1,%,1323
60_blackEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,800 or more, but less than GBP 2,000",2014,Three-year average,Black,ONS 5+2,K02000001,1,%,1323
61_blackEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 2,000 or more",2014,Three-year average,Black,ONS 5+2,K02000001,2,%,1323
62_blackEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 200 or more, but less than GBP 400",2014,Three-year average,Black,ONS 5+2,K02000001,25,%,1323
